,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Hospital Carlos Van Buren- TOP 10%,100.4012,103,2112,7043,845,0.2112,0.7043,0.0845,10000
Hospital Carlos Van Buren- BOTTOM 90%,370.502,375,3196,6449,355,0.3196,0.6449,0.0355,10000
Municipalidad de Quillota- TOP 10%,45.2393,47,1045,7405,1550,0.1045,0.7405,0.155,10000
Municipalidad de Quillota- BOTTOM 90%,216.2033,197,9950,32,18,0.995,0.0032,0.0018,10000
Municipalidad de Talcahuano- TOP 10%,61.9561,69,4,9982,14,0.0004,0.9982,0.0014,10000
Municipalidad de Talcahuano- BOTTOM 90%,500.6667,676,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Peñaflor- TOP 10%,30.5442,32,0,7784,2216,0.0,0.7784,0.2216,10000
Municipalidad de Peñaflor- BOTTOM 90%,340.7373,299,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal Isla de Maipo- TOP 10%,6.9315,6,9336,21,643,0.9336,0.0021,0.0643,10000
Corporación Municipal Isla de Maipo- BOTTOM 90%,192.5876,176,9938,37,25,0.9938,0.0037,0.0025,10000
Municipalidad de Coelemu- TOP 10%,8.7059,7,9705,22,273,0.9705,0.0022,0.0273,10000
Municipalidad de Coelemu- BOTTOM 90%,108.1804,147,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Puerto Montt- TOP 10%,112.1728,120,350,9438,212,0.035,0.9438,0.0212,10000
Municipalidad de Puerto Montt- BOTTOM 90%,571.6209,492,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Cobquecura- TOP 10%,1.0,1,0,0,10000,0.0,0.0,1.0,10000
Municipalidad de Cobquecura- BOTTOM 90%,79.5991,75,8482,984,534,0.8482,0.0984,0.0534,10000
Hospital de Quilpué- TOP 10%,66.7003,37,10000,0,0,1.0,0.0,0.0,10000
Hospital de Quilpué- BOTTOM 90%,238.1459,145,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Río Claro- TOP 10%,4.9394,5,0,593,9407,0.0,0.0593,0.9407,10000
Municipalidad de Río Claro- BOTTOM 90%,92.6884,87,8829,766,405,0.8829,0.0766,0.0405,10000
Instituto Traumatológico- TOP 10%,19.4202,20,0,4459,5541,0.0,0.4459,0.5541,10000
Instituto Traumatológico- BOTTOM 90%,84.5074,85,3912,4880,1208,0.3912,0.488,0.1208,10000
Corporación Municipal de San Joaquin- TOP 10%,17.5363,17,6262,790,2948,0.6262,0.079,0.2948,10000
Corporación Municipal de San Joaquin- BOTTOM 90%,146.1971,141,8231,1314,455,0.8231,0.1314,0.0455,10000
Servicio Local de Educación Pública Costa Araucanía- TOP 10%,10.8544,11,0,1355,8645,0.0,0.1355,0.8645,10000
Servicio Local de Educación Pública Costa Araucanía- BOTTOM 90%,267.8165,250,9831,124,45,0.9831,0.0124,0.0045,10000
Municipalidad de Las Cabras- TOP 10%,3.9698,4,0,300,9700,0.0,0.03,0.97,10000
Municipalidad de Las Cabras- BOTTOM 90%,113.1913,98,9986,9,5,0.9986,0.0009,0.0005,10000
Municipalidad de Loncoche- TOP 10%,10.8544,10,8640,94,1266,0.864,0.0094,0.1266,10000
Municipalidad de Loncoche- BOTTOM 90%,200.9654,205,2420,7059,521,0.242,0.7059,0.0521,10000
Corporación Municipal de Desarrollo Social de Calama (COMDES)- TOP 10%,76.8706,81,727,8665,608,0.0727,0.8665,0.0608,10000
Corporación Municipal de Desarrollo Social de Calama (COMDES)- BOTTOM 90%,618.7054,579,9961,31,8,0.9961,0.0031,0.0008,10000
Municipalidad de Pichidegua- TOP 10%,5.9287,6,0,691,9309,0.0,0.0691,0.9309,10000
Municipalidad de Pichidegua- BOTTOM 90%,124.8013,134,288,9575,137,0.0288,0.9575,0.0137,10000
Municipalidad de Angol- TOP 10%,18.5582,19,0,3603,6397,0.0,0.3603,0.6397,10000
Municipalidad de Angol- BOTTOM 90%,380.9179,304,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Paihuano- TOP 10%,1.9906,2,0,94,9906,0.0,0.0094,0.9906,10000
Municipalidad de Paihuano- BOTTOM 90%,76.2617,80,1507,7822,671,0.1507,0.7822,0.0671,10000
Corporación Municipal para el Desarrollo Social de Villa Alemana- TOP 10%,21.2137,21,4498,1847,3655,0.4498,0.1847,0.3655,10000
Corporación Municipal para el Desarrollo Social de Villa Alemana- BOTTOM 90%,279.2838,275,6636,2965,399,0.6636,0.2965,0.0399,10000
Municipalidad de San Joaquín- TOP 10%,21.2967,20,8421,334,1245,0.8421,0.0334,0.1245,10000
Municipalidad de San Joaquín- BOTTOM 90%,106.5859,99,9625,228,147,0.9625,0.0228,0.0147,10000
Tesorería General de la República (TGR)- TOP 10%,51.7391,54,711,8072,1217,0.0711,0.8072,0.1217,10000
Tesorería General de la República (TGR)- BOTTOM 90%,289.1758,272,9701,225,74,0.9701,0.0225,0.0074,10000
Municipalidad de Santiago- TOP 10%,218.0042,223,2197,7353,450,0.2197,0.7353,0.045,10000
Municipalidad de Santiago- BOTTOM 90%,992.7262,961,9427,506,67,0.9427,0.0506,0.0067,10000
Municipalidad de Pelluhue- TOP 10%,2.9822,3,0,177,9823,0.0,0.0177,0.9823,10000
Municipalidad de Pelluhue- BOTTOM 90%,123.4399,112,9786,130,84,0.9786,0.013,0.0084,10000
Municipalidad de Cauquenes- TOP 10%,19.8319,18,8908,250,842,0.8908,0.025,0.0842,10000
Municipalidad de Cauquenes- BOTTOM 90%,230.3101,208,9958,21,21,0.9958,0.0021,0.0021,10000
Dirección de Vialidad (VIALIDAD)- TOP 10%,29.9838,30,3906,3306,2788,0.3906,0.3306,0.2788,10000
Dirección de Vialidad (VIALIDAD)- BOTTOM 90%,210.4358,208,6178,3288,534,0.6178,0.3288,0.0534,10000
Municipalidad de Pica- TOP 10%,7.916,8,0,805,9195,0.0,0.0805,0.9195,10000
Municipalidad de Pica- BOTTOM 90%,84.3687,90,218,9527,255,0.0218,0.9527,0.0255,10000
Municipalidad de Licantén- TOP 10%,6.8696,7,0,1240,8760,0.0,0.124,0.876,10000
Municipalidad de Licantén- BOTTOM 90%,89.1166,89,4649,4380,971,0.4649,0.438,0.0971,10000
Hospital La Serena- TOP 10%,48.5709,51,1540,7431,1029,0.154,0.7431,0.1029,10000
Hospital La Serena- BOTTOM 90%,202.4489,192,8896,883,221,0.8896,0.0883,0.0221,10000
Municipalidad de Pucón- TOP 10%,20.4539,21,0,4259,5741,0.0,0.4259,0.5741,10000
Municipalidad de Pucón- BOTTOM 90%,211.3914,199,9609,266,125,0.9609,0.0266,0.0125,10000
Municipalidad de Parral- TOP 10%,18.9159,19,3316,2995,3689,0.3316,0.2995,0.3689,10000
Municipalidad de Parral- BOTTOM 90%,263.0279,236,9987,8,5,0.9987,0.0008,0.0005,10000
Municipalidad de Caldera- TOP 10%,8.8035,9,0,1791,8209,0.0,0.1791,0.8209,10000
Municipalidad de Caldera- BOTTOM 90%,176.4624,209,0,10000,0,0.0,1.0,0.0,10000
Hospital Eduardo Pereira de Valparaíso- TOP 10%,49.4679,28,10000,0,0,1.0,0.0,0.0,10000
Hospital Eduardo Pereira de Valparaíso- BOTTOM 90%,153.7653,149,7782,1727,491,0.7782,0.1727,0.0491,10000
Servicio Local de Educación Pública Gabriela Mistral- TOP 10%,9.8544,10,0,1363,8637,0.0,0.1363,0.8637,10000
Servicio Local de Educación Pública Gabriela Mistral- BOTTOM 90%,153.4658,145,9318,488,194,0.9318,0.0488,0.0194,10000
Municipalidad de Renaico- TOP 10%,5.9627,4,9988,0,12,0.9988,0.0,0.0012,10000
Municipalidad de Renaico- BOTTOM 90%,121.0501,97,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Chépica- TOP 10%,6.8963,6,9008,44,948,0.9008,0.0044,0.0948,10000
Municipalidad de Chépica- BOTTOM 90%,116.7385,120,2262,7080,658,0.2262,0.708,0.0658,10000
Hospital de San Carlos- TOP 10%,26.8025,24,9166,260,574,0.9166,0.026,0.0574,10000
Hospital de San Carlos- BOTTOM 90%,102.1408,114,26,9939,35,0.0026,0.9939,0.0035,10000
Municipalidad de Ercilla- TOP 10%,5.959,6,0,401,9599,0.0,0.0401,0.9599,10000
Municipalidad de Ercilla- BOTTOM 90%,140.4586,131,9692,202,106,0.9692,0.0202,0.0106,10000
Hospital Leonardo Guzmán de Antofagasta- TOP 10%,79.7797,70,9942,29,29,0.9942,0.0029,0.0029,10000
Hospital Leonardo Guzmán de Antofagasta- BOTTOM 90%,258.9208,245,9373,487,140,0.9373,0.0487,0.014,10000
Municipalidad de San Ramón- TOP 10%,33.2688,33,4746,2478,2776,0.4746,0.2478,0.2776,10000
Municipalidad de San Ramón- BOTTOM 90%,385.1269,419,5,9993,2,0.0005,0.9993,0.0002,10000
Municipalidad de San Juan de la Costa- TOP 10%,10.7537,11,0,2197,7803,0.0,0.2197,0.7803,10000
Municipalidad de San Juan de la Costa- BOTTOM 90%,92.3766,88,8328,1095,577,0.8328,0.1095,0.0577,10000
Hospital Padre Hurtado- TOP 10%,65.1864,67,1757,6900,1343,0.1757,0.69,0.1343,10000
Hospital Padre Hurtado- BOTTOM 90%,397.8706,379,9521,380,99,0.9521,0.038,0.0099,10000
Municipalidad de Padre Hurtado- TOP 10%,35.0637,37,0,8656,1344,0.0,0.8656,0.1344,10000
Municipalidad de Padre Hurtado- BOTTOM 90%,312.173,286,9974,21,5,0.9974,0.0021,0.0005,10000
Servicio de Salud Valdivia- TOP 10%,37.8119,37,6242,1722,2036,0.6242,0.1722,0.2036,10000
Servicio de Salud Valdivia- BOTTOM 90%,309.492,277,9999,0,1,0.9999,0.0,0.0001,10000
Municipalidad de Los Lagos- TOP 10%,13.7341,14,0,2367,7633,0.0,0.2367,0.7633,10000
Municipalidad de Los Lagos- BOTTOM 90%,115.0007,104,9935,33,32,0.9935,0.0033,0.0032,10000
Municipalidad de Estación Central- TOP 10%,24.1094,25,0,5899,4101,0.0,0.5899,0.4101,10000
Municipalidad de Estación Central- BOTTOM 90%,402.5893,455,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Pedro Aguirre Cerda- TOP 10%,44.8026,46,1640,6255,2105,0.164,0.6255,0.2105,10000
Municipalidad de Pedro Aguirre Cerda- BOTTOM 90%,345.2352,298,10000,0,0,1.0,0.0,0.0,10000
Hospital San Juan de Dios- TOP 10%,93.7434,93,5369,3461,1170,0.5369,0.3461,0.117,10000
Hospital San Juan de Dios- BOTTOM 90%,378.1039,350,9958,32,10,0.9958,0.0032,0.001,10000
Municipalidad de Limache- TOP 10%,13.6825,14,0,2747,7253,0.0,0.2747,0.7253,10000
Municipalidad de Limache- BOTTOM 90%,142.6686,135,9100,644,256,0.91,0.0644,0.0256,10000
Municipalidad de Punta Arenas- TOP 10%,33.8145,30,9666,111,223,0.9666,0.0111,0.0223,10000
Municipalidad de Punta Arenas- BOTTOM 90%,161.7899,148,9748,178,74,0.9748,0.0178,0.0074,10000
Municipalidad de Lonquimay- TOP 10%,18.5614,19,0,3568,6432,0.0,0.3568,0.6432,10000
Municipalidad de Lonquimay- BOTTOM 90%,101.4196,96,9159,509,332,0.9159,0.0509,0.0332,10000
Municipalidad de Los Andes- TOP 10%,25.8082,27,0,7041,2959,0.0,0.7041,0.2959,10000
Municipalidad de Los Andes- BOTTOM 90%,254.6477,232,9966,19,15,0.9966,0.0019,0.0015,10000
Corporación Municipal de Quinta Normal- TOP 10%,23.1676,24,0,5702,4298,0.0,0.5702,0.4298,10000
Corporación Municipal de Quinta Normal- BOTTOM 90%,346.8143,328,9662,269,69,0.9662,0.0269,0.0069,10000
Hospital San Juan de Dios de San Fernando- TOP 10%,34.8094,35,3690,3987,2323,0.369,0.3987,0.2323,10000
Hospital San Juan de Dios de San Fernando- BOTTOM 90%,172.727,167,7849,1718,433,0.7849,0.1718,0.0433,10000
Hospital de las Higueras- TOP 10%,95.1194,89,9284,426,290,0.9284,0.0426,0.029,10000
Hospital de las Higueras- BOTTOM 90%,356.2485,347,7996,1731,273,0.7996,0.1731,0.0273,10000
Junta Nacional de Jardines Infantiles (JUNJI)- TOP 10%,21.9445,22,3348,2850,3802,0.3348,0.285,0.3802,10000
Junta Nacional de Jardines Infantiles (JUNJI)- BOTTOM 90%,463.8887,485,344,9579,77,0.0344,0.9579,0.0077,10000
Corporación Municipal de Colina- TOP 10%,26.8648,27,3138,3127,3735,0.3138,0.3127,0.3735,10000
Corporación Municipal de Colina- BOTTOM 90%,348.4446,303,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de San Carlos- TOP 10%,20.2656,21,1503,5368,3129,0.1503,0.5368,0.3129,10000
Municipalidad de San Carlos- BOTTOM 90%,164.7387,265,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Nacimiento- TOP 10%,18.3636,18,5203,1319,3478,0.5203,0.1319,0.3478,10000
Municipalidad de Nacimiento- BOTTOM 90%,142.9097,142,5424,3890,686,0.5424,0.389,0.0686,10000
Municipalidad de Río Hurtado- TOP 10%,3.9498,4,0,492,9508,0.0,0.0492,0.9508,10000
Municipalidad de Río Hurtado- BOTTOM 90%,90.6013,93,2645,6556,799,0.2645,0.6556,0.0799,10000
Municipalidad de Hualpén- TOP 10%,45.7036,47,1847,6332,1821,0.1847,0.6332,0.1821,10000
Municipalidad de Hualpén- BOTTOM 90%,283.4848,282,5456,4109,435,0.5456,0.4109,0.0435,10000
Municipalidad de Lanco- TOP 10%,3.9811,4,0,188,9812,0.0,0.0188,0.9812,10000
Municipalidad de Lanco- BOTTOM 90%,114.2292,117,2175,7052,773,0.2175,0.7052,0.0773,10000
Comisión para el Mercado Financiero (CMF  ex SVS)- TOP 10%,75.0019,76,3076,5492,1432,0.3076,0.5492,0.1432,10000
Comisión para el Mercado Financiero (CMF  ex SVS)- BOTTOM 90%,37.7344,38,3357,3942,2701,0.3357,0.3942,0.2701,10000
Instituto de Desarrollo Agropecuario (INDAP)- TOP 10%,57.6758,58,3847,4407,1746,0.3847,0.4407,0.1746,10000
Instituto de Desarrollo Agropecuario (INDAP)- BOTTOM 90%,146.7253,151,1784,7703,513,0.1784,0.7703,0.0513,10000
Municipalidad de Ránquil- TOP 10%,3.9519,4,0,475,9525,0.0,0.0475,0.9525,10000
Municipalidad de Ránquil- BOTTOM 90%,71.9939,81,46,9902,52,0.0046,0.9902,0.0052,10000
Municipalidad de Quinta Normal- TOP 10%,10.8365,10,8502,133,1365,0.8502,0.0133,0.1365,10000
Municipalidad de Quinta Normal- BOTTOM 90%,161.326,151,9613,268,119,0.9613,0.0268,0.0119,10000
Hospital Juan Noé de Arica- TOP 10%,68.7467,63,9670,142,188,0.967,0.0142,0.0188,10000
Hospital Juan Noé de Arica- BOTTOM 90%,272.7436,266,7676,1977,347,0.7676,0.1977,0.0347,10000
Hospital El Pino- TOP 10%,99.9007,57,10000,0,0,1.0,0.0,0.0,10000
Hospital El Pino- BOTTOM 90%,267.6482,155,10000,0,0,1.0,0.0,0.0,10000
Hospital Félix Bulnes- TOP 10%,89.23,86,7998,1316,686,0.7998,0.1316,0.0686,10000
Hospital Félix Bulnes- BOTTOM 90%,266.6552,257,8626,1128,246,0.8626,0.1128,0.0246,10000
Corporación Municipal de Puente Alto- TOP 10%,87.6745,88,4089,4650,1261,0.4089,0.465,0.1261,10000
Corporación Municipal de Puente Alto- BOTTOM 90%,648.2067,595,9997,1,2,0.9997,0.0001,0.0002,10000
Hospital Víctor Ríos Ruiz de Los Angeles- TOP 10%,71.1768,68,8221,1062,717,0.8221,0.1062,0.0717,10000
Hospital Víctor Ríos Ruiz de Los Angeles- BOTTOM 90%,332.58,303,9983,14,3,0.9983,0.0014,0.0003,10000
Corporación Municipal de Cerro Navia- TOP 10%,22.2372,20,9583,75,342,0.9583,0.0075,0.0342,10000
Corporación Municipal de Cerro Navia- BOTTOM 90%,231.0877,227,6876,2654,470,0.6876,0.2654,0.047,10000
Municipalidad de San Pablo- TOP 10%,4.9559,5,0,433,9567,0.0,0.0433,0.9567,10000
Municipalidad de San Pablo- BOTTOM 90%,116.6375,99,9996,4,0,0.9996,0.0004,0.0,10000
Servicio Nacional de la Mujer y la Equidad de Género (SERNAMEG)- TOP 10%,42.3601,42,4988,2982,2030,0.4988,0.2982,0.203,10000
Servicio Nacional de la Mujer y la Equidad de Género (SERNAMEG)- BOTTOM 90%,80.0383,79,5912,2800,1288,0.5912,0.28,0.1288,10000
Municipalidad de Peumo- TOP 10%,2.9849,3,0,151,9849,0.0,0.0151,0.9849,10000
Municipalidad de Peumo- BOTTOM 90%,95.3641,93,6763,2424,813,0.6763,0.2424,0.0813,10000
Municipalidad de Putaendo- TOP 10%,10.8029,9,9842,7,151,0.9842,0.0007,0.0151,10000
Municipalidad de Putaendo- BOTTOM 90%,123.2413,118,8465,1094,441,0.8465,0.1094,0.0441,10000
I. Municipalidad de Macul- TOP 10%,25.9437,26,3425,2827,3748,0.3425,0.2827,0.3748,10000
I. Municipalidad de Macul- BOTTOM 90%,196.9042,185,9583,286,131,0.9583,0.0286,0.0131,10000
Municipalidad de Palmilla- TOP 10%,11.6807,12,0,2757,7243,0.0,0.2757,0.7243,10000
Municipalidad de Palmilla- BOTTOM 90%,127.5647,123,7773,1699,528,0.7773,0.1699,0.0528,10000
Hospital de Curicó- TOP 10%,72.8955,62,9980,4,16,0.998,0.0004,0.0016,10000
Hospital de Curicó- BOTTOM 90%,201.5535,190,9350,502,148,0.935,0.0502,0.0148,10000
Servicio de Salud Metropolitano Central- TOP 10%,27.7921,25,9673,73,254,0.9673,0.0073,0.0254,10000
Servicio de Salud Metropolitano Central- BOTTOM 90%,362.4845,330,9987,11,2,0.9987,0.0011,0.0002,10000
Subsecretaría para las Fuerzas Armadas (SSFFAA)- TOP 10%,54.3552,55,3110,4952,1938,0.311,0.4952,0.1938,10000
Subsecretaría para las Fuerzas Armadas (SSFFAA)- BOTTOM 90%,92.9892,91,6761,2324,915,0.6761,0.2324,0.0915,10000
Municipalidad de Quirihue- TOP 10%,9.6446,10,0,3073,6927,0.0,0.3073,0.6927,10000
Municipalidad de Quirihue- BOTTOM 90%,82.3592,87,1042,8466,492,0.1042,0.8466,0.0492,10000
Municipalidad de San Nicolás- TOP 10%,14.191,15,0,5754,4246,0.0,0.5754,0.4246,10000
Municipalidad de San Nicolás- BOTTOM 90%,125.3265,187,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Retiro- TOP 10%,10.6785,10,7226,402,2372,0.7226,0.0402,0.2372,10000
Municipalidad de Retiro- BOTTOM 90%,200.0806,171,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Rancagua- TOP 10%,15.4069,16,0,4513,5487,0.0,0.4513,0.5487,10000
Municipalidad de Rancagua- BOTTOM 90%,171.3359,180,790,8966,244,0.079,0.8966,0.0244,10000
Municipalidad de Navidad- TOP 10%,13.5449,13,6306,728,2966,0.6306,0.0728,0.2966,10000
Municipalidad de Navidad- BOTTOM 90%,104.7999,93,9937,29,34,0.9937,0.0029,0.0034,10000
Municipalidad de Los Alamos- TOP 10%,6.9186,7,0,794,9206,0.0,0.0794,0.9206,10000
Municipalidad de Los Alamos- BOTTOM 90%,166.0714,156,9401,438,161,0.9401,0.0438,0.0161,10000
Corporación de Fomento de la Producción (CORFO)- TOP 10%,80.3938,84,838,8446,716,0.0838,0.8446,0.0716,10000
Corporación de Fomento de la Producción (CORFO)- BOTTOM 90%,39.5482,37,9035,341,624,0.9035,0.0341,0.0624,10000
Municipalidad de Santo Domingo- TOP 10%,15.587,15,6562,608,2830,0.6562,0.0608,0.283,10000
Municipalidad de Santo Domingo- BOTTOM 90%,140.6321,120,9999,0,1,0.9999,0.0,0.0001,10000
Consejo de Defensa del Estado (CDE)- TOP 10%,97.5764,103,399,9212,389,0.0399,0.9212,0.0389,10000
Consejo de Defensa del Estado (CDE)- BOTTOM 90%,27.8213,29,0,7007,2993,0.0,0.7007,0.2993,10000
Municipalidad de Aysen- TOP 10%,27.335,22,9988,1,11,0.9988,0.0001,0.0011,10000
Municipalidad de Aysen- BOTTOM 90%,182.4113,111,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Ovalle- TOP 10%,36.2526,33,8891,543,566,0.8891,0.0543,0.0566,10000
Municipalidad de Ovalle- BOTTOM 90%,524.2817,452,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Tucapel- TOP 10%,16.4803,17,0,4112,5888,0.0,0.4112,0.5888,10000
Municipalidad de Tucapel- BOTTOM 90%,131.8119,143,77,9850,73,0.0077,0.985,0.0073,10000
Municipalidad de Bulnes- TOP 10%,1.9926,2,0,74,9926,0.0,0.0074,0.9926,10000
Municipalidad de Bulnes- BOTTOM 90%,117.1721,138,0,10000,0,0.0,1.0,0.0,10000
Servicio de Salud Bíobío- TOP 10%,62.6943,64,2541,6073,1386,0.2541,0.6073,0.1386,10000
Servicio de Salud Bíobío- BOTTOM 90%,415.7073,359,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Machalí- TOP 10%,15.4182,16,0,4471,5529,0.0,0.4471,0.5529,10000
Municipalidad de Machalí- BOTTOM 90%,156.6081,177,4,9991,5,0.0004,0.9991,0.0005,10000
Servicio de Salud Metropolitano Occidente- TOP 10%,41.3085,40,7175,1305,1520,0.7175,0.1305,0.152,10000
Servicio de Salud Metropolitano Occidente- BOTTOM 90%,201.7066,186,9879,71,50,0.9879,0.0071,0.005,10000
Servicio de Registro Civil e Identificación- TOP 10%,25.8011,27,0,7113,2887,0.0,0.7113,0.2887,10000
Servicio de Registro Civil e Identificación- BOTTOM 90%,78.7401,102,0,10000,0,0.0,1.0,0.0,10000
Corporación Municipal de San Vicente- TOP 10%,18.1904,19,0,5603,4397,0.0,0.5603,0.4397,10000
Corporación Municipal de San Vicente- BOTTOM 90%,189.6505,177,9592,291,117,0.9592,0.0291,0.0117,10000
